Model,Accuracy,Precision,Recall,F1,AUC_ROC
Stacking (XGBoost),0.951,0.9699,0.9529,0.9613,0.9924
Combined Meta ★ OURS,0.9502,0.9689,0.9527,0.9607,0.9923
Stacking (RF),0.9508,0.9699,0.9526,0.9612,0.9922
XGBoost,0.9473,0.9666,0.9503,0.9584,0.9917
Stacking (MLP),0.9481,0.9733,0.9447,0.9588,0.9917
Stacking (LR),0.947,0.9619,0.9549,0.9584,0.9915
Voting (Soft),0.9456,0.9623,0.9521,0.9572,0.9911
LightGBM,0.9447,0.9659,0.9469,0.9563,0.9911
CatBoost,0.9452,0.9636,0.9501,0.9568,0.9908
Boosting (Gradient),0.9437,0.9613,0.9502,0.9557,0.9904
Bagging,0.9365,0.9552,0.945,0.9501,0.9887
Random Forest,0.9357,0.9508,0.9484,0.9496,0.9877
Boosting (AdaBoost),0.9161,0.9209,0.9503,0.9354,0.9815
Extra Trees,0.899,0.8657,0.9965,0.9265,0.9776
Voting (Hard),0.9459,0.968,0.9467,0.9572,
